STATISTIC,STATISTIC Label,TLIST(A1),Year,C03898V04649,Local Electoral Area,UNIT,VALUE,Local Electoral Area,
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3eff-13a3-e055-000000000001,"Borris-In-Ossory-Mountmellick, Laois",Number,0,Borris-In-Ossory-Mountmellick, Laois
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f00-13a3-e055-000000000001,"Portlaoise, Laois",Number,0,Portlaoise, Laois
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f01-13a3-e055-000000000001,"Graiguecullen -Portarlington, Laois",Number,,Graiguecullen -Portarlington, Laois
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f02-13a3-e055-000000000001,"Carlow, Carlow",Number,48,Carlow, Carlow
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f03-13a3-e055-000000000001,"Tullow, Carlow",Number,18,Tullow, Carlow
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-553330000001,"Muinebeag, Carlow",Number,13,Muinebeag, Carlow
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f04-13a3-e055-000000000001,"Manorhamilton, Leitrim",Number,0,Manorhamilton, Leitrim
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f05-13a3-e055-000000000001,"Ballinamore, Leitrim",Number,0,Ballinamore, Leitrim
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f06-13a3-e055-000000000001,"Carrick-On-Shannon, Leitrim",Number,0,Carrick-On-Shannon, Leitrim
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f07-13a3-e055-000000000001,"Newcastle West, Limerick",Number,117,Newcastle West, Limerick
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f08-13a3-e055-000000000001,"Adare-Rathkeale, Limerick",Number,61,Adare-Rathkeale, Limerick
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f09-13a3-e055-000000000001,"Cappamore-Kilmallock, Limerick",Number,128,Cappamore-Kilmallock, Limerick
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f0a-13a3-e055-000000000001,"Limerick City West, Limerick",Number,336,Limerick City West, Limerick
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f0b-13a3-e055-000000000001,"Limerick City North, Limerick",Number,239,Limerick City North, Limerick
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f0c-13a3-e055-000000000001,"Limerick City East, Limerick",Number,105,Limerick City East, Limerick
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f0d-13a3-e055-000000000001,"Granard, Longford",Number,0,Granard, Longford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f0e-13a3-e055-000000000001,"Ballymahon, Longford",Number,0,Ballymahon, Longford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f0f-13a3-e055-000000000001,"Longford, Longford",Number,0,Longford, Longford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f10-13a3-e055-000000000001,"Dundalk-Carlingford, Louth",Number,90,Dundalk-Carlingford, Louth
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f11-13a3-e055-000000000001,"Dundalk South, Louth",Number,278,Dundalk South, Louth
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f12-13a3-e055-000000000001,"Ardee, Louth",Number,38,Ardee, Louth
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f13-13a3-e055-000000000001,"Drogheda Rural, Louth",Number,32,Drogheda Rural, Louth
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-997550000001,"Drogheda Urban, Louth",Number,173,Drogheda Urban, Louth
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f14-13a3-e055-000000000001,"Ballina, Mayo",Number,,Ballina, Mayo
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f15-13a3-e055-000000000001,"Claremorris, Mayo",Number,,Claremorris, Mayo
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f16-13a3-e055-000000000001,"Castlebar, Mayo",Number,0,Castlebar, Mayo
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f17-13a3-e055-000000000001,"Belmullet, Mayo",Number,0,Belmullet, Mayo
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-111110000001,"Westport, Mayo",Number,0,Westport, Mayo
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-999110000001,"Swinford, Mayo",Number,,Swinford, Mayo
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f18-13a3-e055-000000000001,"Kells, Meath",Number,,Kells, Meath
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f19-13a3-e055-000000000001,"Laytown-Bettystown, Meath",Number,,Laytown-Bettystown, Meath
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f1a-13a3-e055-000000000001,"Ashbourne, Meath",Number,0,Ashbourne, Meath
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f1b-13a3-e055-000000000001,"Ratoath, Meath",Number,0,Ratoath, Meath
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f1c-13a3-e055-000000000001,"Trim, Meath",Number,,Trim, Meath
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f1d-13a3-e055-000000000001,"Navan, Meath",Number,5,Navan, Meath
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f1e-13a3-e055-000000000001,"Monaghan, Monaghan",Number,80,Monaghan, Monaghan
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f1f-13a3-e055-000000000001,"Carrickmacross-Castleblayney, Monaghan",Number,53,Carrickmacross-Castleblayney, Monaghan
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f20-13a3-e055-000000000001,"Ballybay-Clones, Monaghan",Number,35,Ballybay-Clones, Monaghan
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f21-13a3-e055-000000000001,"Birr, Offaly",Number,22,Birr, Offaly
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f22-13a3-e055-000000000001,"Tullamore, Offaly",Number,48,Tullamore, Offaly
