Local Authority,LIHAF Project name,Public Infrastructure to be delivered by Local Authority,"Total funding under LIHAF
€M","Grant Amount (75%)  (1)
€M",Total Projected housing units to be delivered by 2021 (2),Projected Number of Social / Part V Housing Units  (3),Projected Number of Affordable Housing units from statutory /adminstrative schemes  (4),Projected Number of Cost Reduced Housing Units  (5),"State Owned, Private or Mixed Associated Housing Sites",Additional information
Clare,"Claureen, Ennis",New link road including services and roundabouts,3.66,2.75,200,20,0,180,Private,"Cost reduction of €3,200 per unit from the open market value"
Cork City,Old Whitechurch Road,Re-routing power lines.  Road improvements.Water and drainage improvements,9.89,7.42,600,60,216,0,State ,"Major Urban Housing Development Site.  Intention to provide mixed tenure with mix of social, affordable and private units.Cork City Council are examining the potential for delivery of additional social and affordable housing on the site in future phases. Final proportions of social / affordable  and private housing  to be agreed with DHPLG prior to construction of the infrastructure.
"
Cork City,South Docks,South Docks Transition Zone transport infrastructure.  Eastern Gateway Bridge western approach road.  Marina Park - District Park.  Kennedy Park upgrade ,15.5,11.63,620,62,40,0,Private,"Major Urban Housing Development Site
Agreement between Cork City and landowner that in addition to 10% social housing through Part V, a further 40 units will be allocated for rent with an affordable rent credit to nominees of the local authority and/or any other statutory body for a period of 25 years.
"
Cork County,Midleton (Water-rock),Knockgriffen junction upgrade.  New spine link road.  Storm water sewer,5.5,4.13,520,52,0,202,Private,"Major Urban Housing Development Site
Agreement that 202 of the 520 units will be delivered at €20,000 below market prices. These reduced cost units will be released on a phased basis as the project progresses and the Water-rock Urban Expansion Area is built out. These reduced cost units will be targeted at first time buyers, people in negative equity and divorced and separated persons."
Cork County,Carrigaline,Upgrade of Shannonpark roundabout,0.6,0.45,400,40,0,0,Private,Housing construction has already started on the associated site. Cost reductions not agreed on housing but allowed to proceed as the cost of the infrastructure relative to the number of units to be delivered is small and the provision of the roundabout has significant public benefit and will ensure that further housing development will be able to take place and supply is maintained.  
Cork County,Glanmire,The Glanmire Sustainable Transport Package.  Upgrade of Dunkettle road (northern section).  Other road improvements including new link road and junction upgrades,5.9,4.43,300,30,0,110,Private,"110 units to be delivered at €20,000 below market prices by end of 2021.
These units will be targeted at first time buyers, persons in negative equity and divorced or separated persons."
Dublin City,Dodder Bridge,New public transport bridge across the Dodder near the point it empties into the Liffey.,15.75,11.81,1500,450,450,0,Private,"Major Urban Housing Development Site
Long term potential for this site is 3,500 units of which 900 units will be social and/or affordable units, and will include units for senior citizens. (Breakdown of figures shown is approximate only and subject to change). Department and all relevant parties are working on final agreement.
Total bridge cost is €31.5 million and the National Transport Authority will fund the balance of €15.75m  "
Dublin City,Belmayne Clongriffin,Road Improvements.  New Main Street ,3,2.25,850,260,120,270,Mixed,"Major Urban Housing Development Site Dublin City Council to provide 550 units on their lands, including 150 social units through current Public Private Partnership. There will be an appropriate tenure mix of social / affordable and private for the remaining 400 units which are being planned.
Private site - agreement with developer to provide 300 units by 2021 with a cost reduction of €2,171 per unit.
"
Dun Laoghaire Rathdown,Cherrywood,"Druid's Glen Road (road only), Druid's Glen bridge - (short bridge structure transversing valley), New N11 junction 'Q' at Druid Glen Road and Druid's Glen Road (bridge feature)",15.19,11.39,2000,200,300,0,Private,"Major Urban Housing Development Site
 2,000 units by 2021 - mixture of units for sale and ""build to rent""
 Agreement to facilitate circa approx. 5% extra affordable housing on site in addition to 10% social housing over the build out of the site equal to the value of the funding under LIHAF.  This will be funded through the aggregation of LIHAF cost reductions.
DLRCC to develop criteria for selection of qualifying purchasers (i.e. an affordable housing scheme)
Affordable units likely to be a mix of smaller units across the entire Cherrywood site to maximise benefit.
"
Dun Laoghaire Rathdown,Clay Farm,Construction of 600m of new loop road,4.7,3.53,350,35,50,0,Private,"Original proposal was for the construction of a loop road and bridge at a cost of ?10.5 million and associated housing delivery of 1,000 housing units.Following discussions between DLRCC and landowners,  one landholder will now construct the bridge and part of the road outside the LIHAF scheme and will also deliver a significant number of housing units in the area.
A revised proposal has therefore been approved for the delivery of 600m of the loop road at a cost of €4.7m and associated housing delivery of 350  units by 2021 Agreement that reductions per unit will be aggregated to the value of the LIHAF amount and used to facilitate affordable housing on the site with DLRCC to develop criteria for selection of qualifying purchasers(i.e. an affordable housing scheme).



"
