CITY,Houses built in 2000,Houses built in 2012,,,,,,,,,,
Carlow,"3,060","9,351",,,,,,,,,,
Clare,"1,974","4,305",,,,,,,,,,
Cork County  ,"32,122","10,529",,,,,,,,,,
Donegal,"6,064","3,449",,,,,,,,,,
Galway County ,"10,094","5,741",,,,,,,,,,
Kildare,"9,987","24,437",,,,,,,,,,
Limerick County,"15,967","7,270",,,,,,,,,,
Mayo,546,"12,782",,,,,,,,,,
Meath,"13,288","11,865",,,,,,,,,,
Sligo,"3,512","10,508",,,,,,,,,,
South Dublin ,"12,410","33,563",,,,,,,,,,
Waterford County,"1,786","2,559",,,,,,,,,,
Dublin City ,"12,740","51,845",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
